coin,date,n_fills,mean_fill_size,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,spread_capture_szw_bp_10s,adverse_select_szw_bp_10s,net_markout_szw_bp_10s,spread_capture_szw_bp_60s,adverse_select_szw_bp_60s,net_markout_szw_bp_60s,rv_10s_bp
ARB,20230709,1557,0.950546,0.448429,-1.939643,-1.491214,0.448429,-1.858733,-1.410303,0.448501,-1.937403,-1.488902,0.448501,-1.858227,-1.409727,2.369041
ARB,20230712,1616,0.962809,0.456339,-2.04493,-1.588591,0.456339,-2.313797,-1.857458,0.456552,-2.075948,-1.619396,0.456552,-2.308539,-1.851988,2.561865
ARB,20230715,5197,0.953454,0.410919,-2.183918,-1.772998,0.410919,-2.212553,-1.801633,0.411081,-2.179062,-1.767981,0.411081,-2.181367,-1.770286,5.189585
ARB,20230718,5106,0.954172,0.415471,-2.137744,-1.722273,0.415471,-2.483238,-2.067767,0.415981,-2.169033,-1.753052,0.415981,-2.441149,-2.025168,5.056514
ARB,20230721,2731,0.903186,0.407105,-1.786823,-1.379718,0.407105,-1.666689,-1.259584,0.407818,-1.781874,-1.374057,0.407818,-1.709983,-1.302165,3.210058
ARB,20230724,2157,0.943904,0.461339,-1.617548,-1.156209,0.461339,-1.348918,-0.887579,0.463294,-1.575262,-1.111968,0.463294,-1.222665,-0.759371,3.431525
ARB,20230727,1029,0.926628,0.426883,-1.464628,-1.037745,0.426883,-1.625144,-1.198261,0.426964,-1.470834,-1.04387,0.426964,-1.582919,-1.155955,2.124377
ARB,20230730,900,0.939778,0.478324,-1.630672,-1.152348,0.478324,-1.808424,-1.3301,0.480151,-1.565892,-1.085741,0.480151,-1.895712,-1.415562,2.406976
ARB,20230802,1539,0.923717,0.444266,-1.609021,-1.164755,0.444266,-1.735859,-1.291593,0.444938,-1.616666,-1.171727,0.444938,-1.837995,-1.393057,2.449756
ARB,20230805,599,0.923706,0.442116,-1.68939,-1.247274,0.442116,-1.393703,-0.951587,0.442602,-1.626615,-1.184013,0.442602,-1.281725,-0.839123,1.78611
ARB,20230808,1059,0.943626,0.443427,-1.70025,-1.256823,0.443427,-1.377678,-0.934251,0.444004,-1.674449,-1.230445,0.444004,-1.382953,-0.938949,2.17405
ARB,20230811,432,0.952546,0.436065,-1.316824,-0.880759,0.436065,-1.300649,-0.864584,0.436251,-1.317389,-0.881139,0.436251,-1.29158,-0.85533,1.360977
ARB,20230814,679,0.940648,0.44694,-1.333577,-0.886637,0.44694,-1.429632,-0.982693,0.447476,-1.251456,-0.80398,0.447476,-1.335717,-0.888241,1.492881
ARB,20230817,3324,0.964741,0.7874,-1.260062,-0.472662,0.7874,0.168102,0.955502,0.797562,-1.259708,-0.462146,0.797562,0.056151,0.853713,7.998125
ARB,20230820,776,0.830928,0.500606,-1.992483,-1.491877,0.500606,-1.945755,-1.445149,0.502765,-1.886122,-1.383357,0.502765,-1.593747,-1.090982,2.105282
ARB,20230823,1287,0.919503,0.516172,-1.669266,-1.153093,0.516172,-1.643473,-1.127301,0.516949,-1.673574,-1.156625,0.516949,-1.702663,-1.185714,2.966013
ARB,20230826,600,0.873833,0.536647,-1.851358,-1.314711,0.536647,-2.108023,-1.571376,0.537846,-1.808187,-1.27034,0.537846,-1.969243,-1.431397,1.781453
ARB,20230829,2161,0.949236,0.553355,-2.153062,-1.599708,0.553355,-2.149039,-1.595684,0.554473,-2.09389,-1.539416,0.554473,-2.029004,-1.47453,3.794234
ARB,20230901,1393,0.889519,0.567736,-2.106136,-1.538401,0.567736,-2.270348,-1.702613,0.569699,-2.01317,-1.443471,0.569699,-2.073186,-1.503488,3.290446
ARB,20230904,1045,0.952344,0.559589,-1.931323,-1.371735,0.559589,-2.028573,-1.468984,0.559899,-1.934347,-1.374448,0.559899,-1.925107,-1.365208,2.663692
ARB,20230907,907,0.923815,0.564192,-1.931649,-1.367456,0.564192,-1.622069,-1.057876,0.565184,-1.954036,-1.388852,0.565184,-1.715775,-1.150591,2.101513
ARB,20230910,1554,0.961261,0.616823,-3.197402,-2.580579,0.616823,-2.409148,-1.792325,0.61774,-3.274705,-2.656964,0.61774,-2.516879,-1.899138,4.179857
ARB,20230913,2873,0.969753,0.744512,-2.214937,-1.470425,0.744512,-2.284266,-1.539753,0.745596,-2.190917,-1.445321,0.745596,-2.167152,-1.421556,5.304436
ARB,20230916,1346,0.957652,0.617094,-3.007669,-2.390575,0.617094,-3.856121,-3.239027,0.616646,-3.004395,-2.387749,0.616646,-3.800905,-3.184259,3.345869
ARB,20230919,1420,0.954155,0.607448,-2.086993,-1.479545,0.607448,-2.74584,-2.138392,0.606252,-2.049036,-1.442784,0.606252,-2.623905,-2.017653,3.170106
ARB,20230922,949,0.944257,0.600217,-1.989252,-1.389035,0.600217,-2.099217,-1.499,0.600387,-2.005693,-1.405307,0.600387,-2.084476,-1.484089,2.635621
ARB,20230925,898,0.921381,0.6292,-2.387491,-1.758291,0.6292,-2.328598,-1.699398,0.630336,-2.407617,-1.777282,0.630336,-2.21655,-1.586214,2.618264
ARB,20230928,1820,0.975934,0.590739,-2.227903,-1.637164,0.590739,-2.025872,-1.435133,0.590663,-2.214826,-1.624163,0.590663,-1.911757,-1.321095,3.82231
ARB,20231001,2289,0.979904,0.568085,-2.586488,-2.018403,0.568085,-2.867357,-2.299272,0.566944,-2.633238,-2.066295,0.566944,-2.886049,-2.319106,4.350197
ARB,20231004,2239,0.975212,0.602363,-2.224946,-1.622583,0.602363,-3.095132,-2.49277,0.603222,-2.25939,-1.656169,0.603222,-3.167997,-2.564775,3.947712
ARB,20231007,826,0.941404,0.570361,-1.848903,-1.278542,0.570361,-1.922716,-1.352355,0.570553,-1.830381,-1.259829,0.570553,-1.89359,-1.323038,1.909198
ARB,20231010,987,0.951469,0.610192,-1.936311,-1.326119,0.610192,-2.386676,-1.776484,0.61024,-1.893239,-1.282999,0.61024,-2.345918,-1.735678,2.71489
ARB,20231013,894,0.959172,0.638868,-2.382853,-1.743986,0.638868,-2.9132,-2.274333,0.639667,-2.367804,-1.728137,0.639667,-2.978948,-2.339282,2.62278
ARB,20231016,1537,0.96864,0.655515,-2.196915,-1.5414,0.655515,-0.980837,-0.325322,0.656137,-2.188664,-1.532527,0.656137,-0.93239,-0.276253,3.204425
ARB,20231019,693,0.966522,0.677435,-2.178106,-1.500671,0.677435,-2.588323,-1.910888,0.678548,-2.184793,-1.506245,0.678548,-2.559786,-1.881239,2.609657
ARB,20231022,1160,0.950517,0.614849,-2.333044,-1.718195,0.614849,-3.783007,-3.168158,0.615643,-2.31589,-1.700247,0.615643,-3.770717,-3.155074,3.331651
ARB,20231025,2111,0.970393,0.563433,-2.126755,-1.563322,0.563433,-2.237408,-1.673974,0.563428,-2.107326,-1.543898,0.563428,-2.195028,-1.6316,4.642145
ARB,20231028,1199,0.95563,0.546632,-1.833041,-1.286408,0.546632,-2.068707,-1.522075,0.546804,-1.846559,-1.299755,0.546804,-2.096164,-1.54936,2.773966
ARB,20231031,2202,0.969936,0.564897,-1.951789,-1.386892,0.564897,-2.732492,-2.167595,0.565972,-1.880335,-1.314363,0.565972,-2.746798,-2.180825,4.340377
ARB,20231103,5340,0.989382,0.519971,-2.286009,-1.766038,0.519971,-2.39928,-1.879309,0.519768,-2.295291,-1.775523,0.519768,-2.372734,-1.852966,6.30773
ARB,20231106,4530,0.979492,0.472176,-2.085507,-1.61333,0.472176,-2.2412,-1.769024,0.472269,-2.079517,-1.607248,0.472269,-2.24512,-1.772851,5.437701
ARB,20231109,9765,0.984721,0.698492,-1.825259,-1.126767,0.698492,-3.201559,-2.503067,0.697301,-1.953701,-1.2564,0.697301,-3.382369,-2.685068,13.867502
ARB,20231112,3880,0.980541,0.468826,-2.099004,-1.630178,0.468826,-2.236855,-1.768028,0.469376,-2.073969,-1.604593,0.469376,-2.197139,-1.727763,5.077105
ARB,20231115,3482,0.9805,0.462154,-1.907605,-1.445451,0.462154,-1.815683,-1.353529,0.462394,-1.905801,-1.443407,0.462394,-1.814269,-1.351875,3.989414
ARB,20231118,2253,0.982024,0.507373,-1.992075,-1.484702,0.507373,-2.471649,-1.964276,0.507699,-1.996611,-1.488912,0.507699,-2.4869,-1.9792,4.004853
ARB,20231121,4152,0.986079,0.568989,-2.722542,-2.153553,0.568989,-2.386321,-1.817333,0.567624,-2.714045,-2.146421,0.567624,-2.413011,-1.845387,6.461847
ARB,20231124,2205,0.965896,0.493553,-1.998395,-1.504842,0.493553,-2.290733,-1.797181,0.493456,-1.986396,-1.492939,0.493456,-2.268901,-1.775445,3.461833
ARB,20231127,2145,0.960466,0.506935,-2.131476,-1.624541,0.506935,-2.000504,-1.493569,0.507117,-2.111204,-1.604087,0.507117,-1.960608,-1.453491,3.605131
ARB,20231130,1664,0.96232,0.502111,-1.883001,-1.38089,0.502111,-1.717283,-1.215172,0.502353,-1.87751,-1.375157,0.502353,-1.723649,-1.221296,2.633815
ARB,20231203,2298,0.966101,0.472145,-1.74576,-1.273615,0.472145,-1.968929,-1.496784,0.472792,-1.709666,-1.236873,0.472792,-1.938989,-1.466197,2.98206
ARB,20231206,3666,0.971331,0.494713,-2.083453,-1.58874,0.494713,-2.411299,-1.916586,0.495643,-2.071183,-1.57554,0.495643,-2.345074,-1.849431,4.832472
ARB,20231209,7279,0.981824,0.532753,-2.124538,-1.591786,0.532753,-2.133363,-1.60061,0.532807,-2.120853,-1.588047,0.532807,-2.039887,-1.507081,6.020341
ARB,20231212,8002,0.979955,0.476397,-2.472454,-1.996057,0.476397,-2.346809,-1.870412,0.476431,-2.470071,-1.99364,0.476431,-2.35698,-1.88055,7.314412
ARB,20231215,3975,0.974918,0.467556,-2.243453,-1.775897,0.467556,-2.124147,-1.656591,0.468143,-2.219818,-1.751674,0.468143,-2.083661,-1.615517,4.290375
ARB,20231218,3703,0.960383,0.498929,-2.323896,-1.824966,0.498929,-2.1061,-1.607171,0.499609,-2.342721,-1.843112,0.499609,-2.095904,-1.596295,4.844065
ARB,20231221,3306,0.983152,0.455559,-1.839734,-1.384175,0.455559,-1.520181,-1.064622,0.455631,-1.860444,-1.404813,0.455631,-1.526048,-1.070417,4.339083
ARB,20231224,7940,0.972406,0.431552,-2.114236,-1.682684,0.431552,-1.756529,-1.324976,0.432948,-2.120436,-1.687488,0.432948,-1.758234,-1.325287,7.054413
ARB,20231227,10179,0.980342,0.424033,-1.854583,-1.430551,0.424033,-1.487408,-1.063375,0.423863,-1.844771,-1.420908,0.423863,-1.456688,-1.032825,8.02791
ARB,20231230,7701,0.951967,0.365963,-1.974498,-1.608535,0.365963,-2.320933,-1.95497,0.366658,-1.959559,-1.592901,0.366658,-2.232727,-1.866069,4.848402
ARB,20240102,14621,0.955516,0.341179,-1.721743,-1.380564,0.341179,-1.785897,-1.444717,0.342231,-1.706531,-1.3643,0.342231,-1.743869,-1.401637,7.70008
ARB,20240105,19171,0.965323,0.347083,-1.864304,-1.517221,0.347083,-1.990099,-1.643016,0.348971,-1.873562,-1.524591,0.348971,-2.012148,-1.663177,9.201336
ARB,20240108,19450,0.977835,0.34422,-2.245025,-1.900805,0.34422,-2.564355,-2.220135,0.344807,-2.237287,-1.89248,0.344807,-2.493158,-2.148351,9.732569
ARB,20240111,24311,0.977973,0.280267,-1.80552,-1.525253,0.280267,-2.227688,-1.947421,0.2803,-1.797391,-1.517091,0.2803,-2.214955,-1.934655,9.5677
ARB,20240114,11740,0.960852,0.261646,-1.640444,-1.378797,0.261646,-1.879822,-1.618176,0.261817,-1.629957,-1.36814,0.261817,-1.857205,-1.595388,5.31261
ARB,20240117,9753,0.962811,0.262989,-1.567273,-1.304285,0.262989,-1.22453,-0.961542,0.263222,-1.527441,-1.264219,0.263222,-1.193411,-0.930189,4.660854
ARB,20240120,8757,0.961893,0.299971,-1.746582,-1.446611,0.299971,-1.759594,-1.459623,0.300257,-1.737223,-1.436965,0.300257,-1.749651,-1.449394,4.276177
ARB,20240123,17875,0.981807,0.349083,-1.826172,-1.477089,0.349083,-1.545715,-1.196632,0.349181,-1.824368,-1.475188,0.349181,-1.536389,-1.187208,7.494388
ARB,20240126,11051,0.975188,0.306378,-1.40935,-1.102972,0.306378,-1.281894,-0.975516,0.306392,-1.397739,-1.091348,0.306392,-1.245703,-0.939312,4.885837
ARB,20240129,9143,0.943771,0.300206,-1.419425,-1.119219,0.300206,-1.302636,-1.00243,0.300521,-1.41952,-1.118999,0.300521,-1.32648,-1.025959,4.000784
ARB,20240201,7949,0.955567,0.30937,-1.469382,-1.160012,0.30937,-1.356698,-1.047327,0.309858,-1.456838,-1.146981,0.309858,-1.34252,-1.032662,4.477505
ARB,20240204,7257,0.93664,0.304648,-1.327765,-1.023117,0.304648,-1.258285,-0.953637,0.305387,-1.309044,-1.003657,0.305387,-1.232857,-0.92747,3.056875
ARB,20240207,12854,0.892594,0.288646,-1.420572,-1.131926,0.288646,-1.667953,-1.379308,0.289673,-1.420821,-1.131148,0.289673,-1.652869,-1.363195,3.948607
ARB,20240210,8051,0.883903,0.261746,-1.435432,-1.173686,0.261746,-1.566968,-1.305222,0.262388,-1.454561,-1.192173,0.262388,-1.551951,-1.289563,2.767578
ARB,20240213,10587,0.906215,0.266417,-1.690713,-1.424296,0.266417,-1.982564,-1.716147,0.267448,-1.688284,-1.420836,0.267448,-1.985094,-1.717646,4.004997
ARB,20240216,6889,0.973291,0.290177,-1.403206,-1.113029,0.290177,-1.333936,-1.043759,0.288819,-1.378927,-1.090108,0.288819,-1.395078,-1.106258,4.046181
ARB,20240219,7438,0.965717,0.260427,-1.396723,-1.136296,0.260427,-1.265684,-1.005257,0.260694,-1.39984,-1.139145,0.260694,-1.256258,-0.995564,3.917652
ARB,20240222,11216,0.903272,0.290476,-1.536626,-1.24615,0.290476,-1.527554,-1.237078,0.291655,-1.495016,-1.20336,0.291655,-1.485305,-1.193649,4.73487
ARB,20240225,8639,0.955006,0.289437,-1.406894,-1.117458,0.289437,-1.307108,-1.017671,0.28902,-1.412888,-1.123868,0.28902,-1.331847,-1.042827,3.527065
ARB,20240228,14533,0.969931,0.410904,-1.491686,-1.080782,0.410904,-1.692264,-1.28136,0.409971,-1.495386,-1.085416,0.409971,-1.673336,-1.263366,7.714636
ARB,20240302,11814,0.969037,0.271118,-1.532703,-1.261585,0.271118,-1.737696,-1.466578,0.271518,-1.539746,-1.268228,0.271518,-1.7624,-1.490882,4.11014
ARB,20240305,27452,0.981426,0.466268,-1.703725,-1.237457,0.466268,-1.996537,-1.530269,0.462615,-1.704782,-1.242167,0.462615,-1.993323,-1.530708,13.83124
ARB,20240308,14988,0.977175,0.38256,-1.51054,-1.12798,0.38256,-1.911405,-1.528845,0.379069,-1.598386,-1.219317,0.379069,-1.920128,-1.541058,7.853428
ARB,20240311,11648,0.978022,0.306902,-1.463603,-1.156702,0.306902,-1.435821,-1.12892,0.305313,-1.464222,-1.158908,0.305313,-1.400075,-1.094762,5.562269
ARB,20240314,13145,0.973229,0.313353,-1.353315,-1.039962,0.313353,-0.938787,-0.625434,0.313651,-1.364085,-1.050435,0.313651,-0.954597,-0.640947,6.135532
ARB,20240317,14228,0.969019,0.331091,-1.571445,-1.240354,0.331091,-1.612244,-1.281153,0.331444,-1.578228,-1.246784,0.331444,-1.678029,-1.346585,5.85324
ARB,20240320,18195,0.973372,0.373816,-1.530566,-1.15675,0.373816,-1.269521,-0.895706,0.372893,-1.555526,-1.182633,0.372893,-1.314934,-0.942041,8.827278
ARB,20240323,8346,0.941337,0.332283,-1.764429,-1.432146,0.332283,-1.506095,-1.173813,0.332807,-1.760085,-1.427278,0.332807,-1.488228,-1.155421,4.093305
ARB,20240326,9482,0.972622,0.317776,-1.446099,-1.128323,0.317776,-1.423935,-1.106159,0.31809,-1.44549,-1.1274,0.31809,-1.444157,-1.126066,4.290756
ARB,20240329,8293,0.967081,0.326541,-1.488511,-1.161971,0.326541,-1.339624,-1.013083,0.32676,-1.472365,-1.145605,0.32676,-1.350374,-1.023613,3.657427
ARB,20240401,9636,0.972873,0.40096,-1.484883,-1.083923,0.40096,-1.707703,-1.306744,0.402869,-1.465553,-1.062684,0.402869,-1.682259,-1.279391,5.536221
ARB,20240404,6610,0.957685,0.361924,-1.637365,-1.275441,0.361924,-1.169538,-0.807614,0.362711,-1.628851,-1.266141,0.362711,-1.194904,-0.832194,4.293584
ARB,20240407,4671,0.963691,0.35617,-1.49173,-1.13556,0.35617,-1.469137,-1.112968,0.356823,-1.482538,-1.125715,0.356823,-1.446555,-1.089732,2.966664
ARB,20240410,7298,0.974089,0.403244,-1.618341,-1.215096,0.403244,-1.899058,-1.495813,0.404029,-1.621681,-1.217653,0.404029,-1.946102,-1.542073,4.920325
ARB,20240413,19034,0.985993,0.999584,-1.947694,-0.94811,0.999584,-0.824842,0.174742,1.003912,-1.927439,-0.923526,1.003912,-0.70644,0.297472,17.109872
ARB,20240416,9441,0.980902,0.498171,-1.738166,-1.239995,0.498171,-1.462167,-0.963996,0.498624,-1.733731,-1.235107,0.498624,-1.493554,-0.99493,7.743921
ARB,20240419,8785,0.964155,0.511542,-1.855478,-1.343936,0.511542,-1.417696,-0.906154,0.513277,-1.834231,-1.320954,0.513277,-1.392036,-0.87876,6.422825
ARB,20240422,5206,0.962255,0.450001,-1.840847,-1.390846,0.450001,-1.870787,-1.420785,0.450398,-1.823445,-1.373048,0.450398,-1.821215,-1.370817,4.150223
ARB,20240425,4840,0.972975,0.496239,-1.932129,-1.43589,0.496239,-1.883353,-1.387114,0.496669,-1.925561,-1.428893,0.496669,-1.86741,-1.370741,4.820599
