coin,date,matched_peak_lag_ms,matched_peak_corr,raw_peak_lag_ms,raw_peak_corr,bybit_cadence_ms,hl_cadence_ms
ARB,20250727,250,0.17505889648269407,500,0.19980015461038267,100.0,544.0
ARB,20250728,500,0.20778055733424636,500,0.23778129361063674,100.0,542.0
ARB,20250729,500,0.19073534690490546,500,0.21643742814789207,100.0,542.0
ARB,20250730,250,0.18192559308356757,500,0.20662044168889782,100.0,543.0
ARB,20250731,250,0.16725930383507664,500,0.17745218294102819,100.0,545.0
ARB,20250801,500,0.16625842269520202,750,0.17160950769068656,100.0,543.0
ARB,20250802,250,0.18731807053732835,500,0.21051760039315545,100.0,544.0
ARB,20250803,500,0.16640540800244447,500,0.18226210971869838,100.0,546.0
ARB,20250804,500,0.17288938728699108,500,0.19395448504956977,100.0,543.0
ARB,20250805,500,0.1759778595056771,500,0.20021417186914367,100.0,543.0
ARB,20250806,250,0.18689420041169924,500,0.21519308049284983,100.0,545.0
ARB,20250807,500,0.15729970170610852,500,0.18181805609230076,100.0,545.0
ARB,20250808,500,0.18134619938717464,500,0.1997321618974666,100.0,544.0
ARB,20250809,250,0.192979405744515,500,0.218226819021307,100.0,544.0
ARB,20250810,500,0.1902664030248143,500,0.21516950814943137,100.0,544.0
ARB,20250811,500,0.18652972097965043,750,0.20447089121347453,100.0,543.0
ARB,20250812,500,0.17940364237797743,750,0.19416557828384595,100.0,543.0
ARB,20250813,500,0.20473235581925583,750,0.22285402099481316,100.0,542.0
ARB,20250814,500,0.1612641315790654,750,0.1723956466961066,100.0,543.0
ARB,20250815,500,0.18852777945384622,750,0.2021186149218539,100.0,543.0
ARB,20250816,250,0.20534270224542486,500,0.23439689921928727,100.0,545.0
ARB,20250817,500,0.2365008364976508,750,0.25580068181709675,100.0,543.0
ARB,20250818,500,0.20630083195843915,750,0.22484381816192042,100.0,542.0
ARB,20250819,500,0.1867126355410392,750,0.20663367235140404,100.0,543.0
ARB,20250820,500,0.19824074241753503,500,0.20917133138927663,100.0,543.0
AVAX,20250727,250,0.21012598269628882,500,0.24027810479902148,100.0,543.0
AVAX,20250728,500,0.22637842065941832,750,0.257241109143032,100.0,541.0
AVAX,20250729,250,0.18246405395201923,500,0.21759767645925565,100.0,542.0
AVAX,20250730,500,0.18607793830006408,500,0.22156735802620148,100.0,541.0
AVAX,20250731,250,0.18606897163844482,500,0.21537860802797473,100.0,543.0
AVAX,20250801,500,0.17588855203890666,750,0.1964633188626216,100.0,542.0
AVAX,20250802,500,0.1992079296261784,500,0.23329402736293633,100.0,543.0
AVAX,20250803,250,0.1872447328342011,500,0.22257769910726627,100.0,543.0
AVAX,20250804,500,0.20839345934194253,500,0.2155537773897219,100.0,542.0
AVAX,20250805,250,0.18860588635415873,500,0.2201377077733109,100.0,542.0
AVAX,20250806,500,0.19059805418551337,500,0.2296595013466495,100.0,543.0
AVAX,20250807,250,0.18825166368679785,500,0.22049050827329986,100.0,543.0
AVAX,20250808,500,0.19222901060477904,750,0.2290625972111691,100.0,543.0
AVAX,20250809,250,0.20021633479452666,500,0.2352448197157678,100.0,544.0
AVAX,20250810,500,0.18982251880848322,500,0.21757020671064364,100.0,543.0
AVAX,20250811,250,0.19594158751077106,500,0.2308228654861415,100.0,542.0
AVAX,20250812,250,0.17309929546623437,500,0.2005916538072902,100.0,543.0
AVAX,20250813,250,0.18954829972306753,750,0.21955917323468818,100.0,542.0
AVAX,20250814,500,0.14553391773662824,750,0.16308842859495026,100.0,543.0
AVAX,20250815,500,0.20771014636162105,750,0.22995543589424444,100.0,542.0
AVAX,20250816,500,0.20414080504197957,500,0.2394859776655537,100.0,543.0
AVAX,20250817,500,0.20840939874841907,750,0.23589304665343858,100.0,542.0
AVAX,20250818,500,0.20311824475724966,750,0.23601294202505002,100.0,542.0
AVAX,20250819,500,0.20331788064409453,750,0.22841214811383867,100.0,542.0
AVAX,20250820,500,0.1806677177603401,750,0.19564365528825725,100.0,543.0
BNB,20250727,500,0.17462535464764453,500,0.16637342091764817,100.0,543.0
BNB,20250728,750,0.15852621342907186,500,0.17301088598634565,100.0,541.0
BNB,20250729,500,0.14557089211239635,750,0.16844611203003268,100.0,542.0
BNB,20250730,500,0.15020716627617642,750,0.15970611415439,100.0,542.0
BNB,20250731,500,0.15186977371948807,500,0.15914899065679688,100.0,543.0
BNB,20250801,750,0.1592484427352975,750,0.17042798167755135,100.0,542.0
BNB,20250802,750,0.15805916803814316,750,0.1692161160787134,100.0,544.0
