coin,date,n_fills,mean_fill_size,spread_capture_bp_10s,adverse_select_bp_10s,net_markout_bp_10s,spread_capture_bp_60s,adverse_select_bp_60s,net_markout_bp_60s,spread_capture_szw_bp_10s,adverse_select_szw_bp_10s,net_markout_szw_bp_10s,spread_capture_szw_bp_60s,adverse_select_szw_bp_60s,net_markout_szw_bp_60s,rv_10s_bp
1000PEPEUSDT,20230516,30754,1.0,0.5863527304347034,-0.6890393799205244,-0.102686649485821,0.5863527304347034,-0.7948003186299316,-0.2084475881952283,0.5863527304347034,-0.6890393799205244,-0.102686649485821,0.5863527304347034,-0.7948003186299316,-0.2084475881952283,9.350968516437808
1000PEPEUSDT,20230517,47345,1.0,0.6276413991344773,-0.8369480562925317,-0.2093066571580544,0.6276413991344773,-1.0420927061444014,-0.4144513070099242,0.6276413991344773,-0.8369480562925317,-0.2093066571580544,0.6276413991344773,-1.0420927061444014,-0.4144513070099242,10.906638513506993
1000PEPEUSDT,20230518,54647,1.0,0.5023346005419508,-0.7460919723557602,-0.2437573718138093,0.5023346005419508,-0.6131872817806429,-0.1108526812386919,0.5023346005419508,-0.7460919723557602,-0.2437573718138093,0.5023346005419508,-0.6131872817806429,-0.1108526812386919,8.932747692602913
1000PEPEUSDT,20230519,34752,1.0,0.4387440381043359,-0.888231700110138,-0.4494876620058022,0.4387440381043359,-1.0005347755705591,-0.5617907374662234,0.4387440381043359,-0.888231700110138,-0.4494876620058022,0.4387440381043359,-1.0005347755705591,-0.5617907374662234,6.473871918981514
1000PEPEUSDT,20230520,61841,1.0,0.4991166204070676,-0.9307539083674436,-0.4316372879603757,0.4991166204070676,-1.1042538108429245,-0.605137190435857,0.4991166204070676,-0.9307539083674436,-0.4316372879603757,0.4991166204070676,-1.1042538108429245,-0.605137190435857,12.954855372728357
1000PEPEUSDT,20230521,52899,1.0,0.4083480371984261,-0.7520610225044873,-0.343712985306061,0.4083480371984261,-0.5703257942295479,-0.1619777570311215,0.4083480371984261,-0.7520610225044873,-0.343712985306061,0.4083480371984261,-0.5703257942295479,-0.1619777570311215,8.672323494448298
1000PEPEUSDT,20230522,38048,1.0,0.4312341716416701,-0.7780157317787549,-0.3467815601370848,0.4312341716416701,-0.5064668542611525,-0.0752326826194822,0.4312341716416701,-0.7780157317787549,-0.3467815601370848,0.4312341716416701,-0.5064668542611525,-0.0752326826194822,6.580638149646013
1000PEPEUSDT,20230523,34417,1.0,0.4446006488139246,-0.9801379808159366,-0.5355373320020119,0.4446006488139246,-0.9889993323187972,-0.5443986835048725,0.4446006488139246,-0.9801379808159366,-0.5355373320020119,0.4446006488139246,-0.9889993323187972,-0.5443986835048725,7.321467616672624
1000PEPEUSDT,20230524,44322,1.0,0.6420677831890473,-1.3052932216271491,-0.6632254384381019,0.6420677831890473,-1.564303987140761,-0.922236203951714,0.6420677831890473,-1.3052932216271491,-0.6632254384381019,0.6420677831890473,-1.564303987140761,-0.922236203951714,10.166720923089056
1000PEPEUSDT,20230525,30997,1.0,0.5215278298000993,-1.0442062716134344,-0.5226784418133351,0.521527829800099,-0.8680255355842692,-0.3464977057841701,0.5215278298000993,-1.0442062716134344,-0.5226784418133351,0.521527829800099,-0.8680255355842692,-0.3464977057841701,8.27243348814736
1000PEPEUSDT,20230526,26532,1.0,0.4983298961424099,-0.8870286068302998,-0.38869871068789,0.4983298961424099,-0.7905428476710596,-0.2922129515286497,0.4983298961424099,-0.8870286068302998,-0.38869871068789,0.4983298961424099,-0.7905428476710596,-0.2922129515286497,6.998002688853734
1000PEPEUSDT,20230527,18928,1.0,0.4388364149651536,-0.8169436258047346,-0.378107210839581,0.4388364149651535,-0.8749567517317226,-0.4361203367665691,0.4388364149651536,-0.8169436258047346,-0.378107210839581,0.4388364149651535,-0.8749567517317226,-0.4361203367665691,4.916668372070228
1000PEPEUSDT,20230528,19548,1.0,0.4664979852794196,-0.7000156228378688,-0.2335176375584493,0.4664979852794196,-0.830566361417035,-0.3640683761376153,0.4664979852794196,-0.7000156228378688,-0.2335176375584493,0.4664979852794196,-0.830566361417035,-0.3640683761376153,7.092692167200538
1000PEPEUSDT,20230529,14044,1.0,0.4929423927129789,-0.7859610506434288,-0.2930186579304498,0.4929423927129789,-0.5719557016526583,-0.0790133089396793,0.4929423927129789,-0.7859610506434288,-0.2930186579304498,0.4929423927129789,-0.5719557016526583,-0.0790133089396793,5.699857745566731
1000PEPEUSDT,20230530,18986,1.0,0.5448024382072434,-1.0405856932978217,-0.4957832550905783,0.5448024382072433,-1.0256658446859528,-0.4808634064787095,0.5448024382072434,-1.0405856932978217,-0.4957832550905783,0.5448024382072433,-1.0256658446859528,-0.4808634064787095,8.041698046760377
1000PEPEUSDT,20230531,21160,1.0,0.5936817053237773,-1.4668416485859035,-0.873159943262126,0.5936817053237774,-1.0796124859255931,-0.4859307806018154,0.5936817053237773,-1.4668416485859035,-0.873159943262126,0.5936817053237774,-1.0796124859255931,-0.4859307806018154,7.637528387978126
1000PEPEUSDT,20230601,22044,1.0,0.5498422020541033,-1.2599377939058996,-0.7100955918517965,0.5498422020541033,-1.1898088067436636,-0.6399666046895603,0.5498422020541033,-1.2599377939058996,-0.7100955918517965,0.5498422020541033,-1.1898088067436636,-0.6399666046895603,7.346930503321291
1000PEPEUSDT,20230602,13434,1.0,0.5425433717434206,-1.0920521489681756,-0.5495087772247551,0.5425433717434206,-0.9118087159249691,-0.3692653441815488,0.5425433717434206,-1.0920521489681756,-0.5495087772247551,0.5425433717434206,-0.9118087159249691,-0.3692653441815488,4.70263358921162
1000PEPEUSDT,20230603,16436,1.0,0.5234706438142296,-1.0187088719621182,-0.4952382281478886,0.5234706438142295,-0.8509215726809772,-0.3274509288667477,0.5234706438142296,-1.0187088719621182,-0.4952382281478886,0.5234706438142295,-0.8509215726809772,-0.3274509288667477,5.108995422285864
1000PEPEUSDT,20230604,13057,1.0,0.5527200425234511,-1.1918929917102556,-0.6391729491868046,0.5527200425234511,-1.0085740349302208,-0.4558539924067696,0.5527200425234511,-1.1918929917102556,-0.6391729491868046,0.5527200425234511,-1.0085740349302208,-0.4558539924067696,5.499977893346888
1000PEPEUSDT,20230605,30093,1.0,1.9514827870096831,-1.1615494304925968,0.7899333565170861,1.9514827870096831,-2.4259739798690165,-0.4744911928593337,1.9514827870096831,-1.1615494304925968,0.7899333565170861,1.9514827870096831,-2.4259739798690165,-0.4744911928593337,11.758936312711796
1000PEPEUSDT,20230606,48175,1.0,0.772146644256217,-0.8602143422142307,-0.0880676979580136,0.7721466442562169,-0.6370231043870592,0.1351235398691581,0.772146644256217,-0.8602143422142307,-0.0880676979580136,0.7721466442562169,-0.6370231043870592,0.1351235398691581,12.067043530164048
1000PEPEUSDT,20230607,34447,1.0,0.6007025131409293,-1.2033787174074648,-0.6026762042665359,0.6007025131409293,-1.0961039683341458,-0.4954014551932165,0.6007025131409293,-1.2033787174074648,-0.6026762042665359,0.6007025131409293,-1.0961039683341458,-0.4954014551932165,9.755883229385704
1000PEPEUSDT,20230608,20040,1.0,0.6167364316458934,-1.0274813195922063,-0.4107448879463128,0.6167364316458934,-0.9818364659735817,-0.3651000343276879,0.6167364316458934,-1.0274813195922063,-0.4107448879463128,0.6167364316458934,-0.9818364659735817,-0.3651000343276879,6.876734388728661
1000PEPEUSDT,20230609,32906,1.0,0.6525911677512014,-0.6919160126476981,-0.0393248448964967,0.6525911677512014,-0.6354743156275825,0.0171168521236189,0.6525911677512014,-0.6919160126476981,-0.0393248448964967,0.6525911677512014,-0.6354743156275825,0.0171168521236189,7.536473325999077
1000PEPEUSDT,20230610,47453,1.0,1.075983205864753,-1.648160466835069,-0.5721772609703157,1.075983205864753,-1.2239112399790757,-0.1479280341143228,1.075983205864753,-1.648160466835069,-0.5721772609703157,1.075983205864753,-1.2239112399790757,-0.1479280341143228,17.613934875808933
1000PEPEUSDT,20230611,18148,1.0,0.694415903624273,-1.2141395086866988,-0.5197236050624259,0.694415903624273,-1.0612413449967073,-0.3668254413724345,0.694415903624273,-1.2141395086866988,-0.5197236050624259,0.694415903624273,-1.0612413449967073,-0.3668254413724345,7.109225932292982
1000PEPEUSDT,20230612,23057,1.0,0.7452003712796647,-1.0497316135990546,-0.3045312423193899,0.7452003712796647,-1.1733620961906688,-0.4281617249110039,0.7452003712796647,-1.0497316135990546,-0.3045312423193899,0.7452003712796647,-1.1733620961906688,-0.4281617249110039,7.8645058107577634
1000PEPEUSDT,20230613,23422,1.0,0.7825935215145936,-1.1610250971346492,-0.3784315756200557,0.7825935215145936,-1.1801807548386076,-0.397587233324014,0.7825935215145936,-1.1610250971346492,-0.3784315756200557,0.7825935215145936,-1.1801807548386076,-0.397587233324014,7.647427394638921
1000PEPEUSDT,20230614,19020,1.0,0.9207246919832058,-1.6779258740845493,-0.7572011821013436,0.9207246919832056,-0.6585907587638633,0.2621339332193424,0.9207246919832058,-1.6779258740845493,-0.7572011821013436,0.9207246919832056,-0.6585907587638633,0.2621339332193424,8.805542882013896
1000PEPEUSDT,20230615,16720,1.0,0.7981848278901643,-1.0893055286538,-0.2911207007636357,0.7981848278901643,-0.930143338045913,-0.1319585101557484,0.7981848278901643,-1.0893055286538,-0.2911207007636357,0.7981848278901643,-0.930143338045913,-0.1319585101557484,6.707362123178634
1000PEPEUSDT,20230616,33914,1.0,0.7991156384362836,-1.084179931453911,-0.2850642930176269,0.7991156384362836,-1.0849733001458328,-0.2858576617095492,0.7991156384362836,-1.084179931453911,-0.2850642930176269,0.7991156384362836,-1.0849733001458328,-0.2858576617095492,10.220806091854389
