venue,coin,date,gap_ms,n_fills,capture_bp,adverse_bp,net_bp
bybit_perp,ARB,20250731,10000,858,1.2572972577063346,-1.0858461612838575,0.17145109642247724
bybit_perp,ARB,20250801,100,1945,1.3241721810854283,-2.2578262743432393,-0.9336540932578105
bybit_perp,ARB,20250801,250,1616,1.3355998269374294,-1.952883186337065,-0.6172833593996361
bybit_perp,ARB,20250801,500,1485,1.3385321505296817,-2.047442932735284,-0.7089107822056022
bybit_perp,ARB,20250801,1000,1337,1.325937514634138,-2.2121527583989473,-0.8862152437648091
bybit_perp,ARB,20250801,2000,1118,1.32676392843345,-2.1037865928701107,-0.7770226644366607
bybit_perp,ARB,20250801,5000,876,1.3285537441481772,-1.9656532918243503,-0.6370995476761734
bybit_perp,ARB,20250801,10000,688,1.3377615881080747,-1.9415793300179869,-0.6038177419099121
bybit_perp,ARB,20250802,100,1109,1.3565676676766663,-1.9628927957499573,-0.6063251280732909
bybit_perp,ARB,20250802,250,925,1.3690310200874845,-2.096089394132492,-0.7270583740450076
bybit_perp,ARB,20250802,500,867,1.3759434776343173,-1.940634249794649,-0.5646907721603314
bybit_perp,ARB,20250802,1000,779,1.3725131328811193,-1.9604960299546124,-0.5879828970734928
bybit_perp,ARB,20250802,2000,715,1.369754913601582,-1.8047308230480017,-0.434975909446419
bybit_perp,ARB,20250802,5000,577,1.37172460982965,-1.4601684744158498,-0.08844386458619954
bybit_perp,ARB,20250802,10000,518,1.3725817689193063,-1.4612264425311667,-0.0886446736118606
bybit_perp,ARB,20250803,100,739,1.337516050409296,-1.4577991677486521,-0.12028311733935611
bybit_perp,ARB,20250803,250,645,1.3461673224710613,-1.402215836189717,-0.05604851371865585
bybit_perp,ARB,20250803,500,614,1.3429909461381493,-1.3961978909510708,-0.05320694481292145
bybit_perp,ARB,20250803,1000,584,1.3487117827230388,-1.474429050978029,-0.12571726825499024
bybit_perp,ARB,20250803,2000,513,1.3532851649049262,-1.4725860211404638,-0.11930085623553773
bybit_perp,ARB,20250803,5000,442,1.3543773694881445,-1.6089007480299748,-0.25452337854183027
bybit_perp,ARB,20250803,10000,385,1.3673461602706913,-1.1117931181634169,0.2555530421072743
bybit_perp,ARB,20250804,100,1089,1.2682248297942338,-1.741356627033089,-0.47313179723885485
bybit_perp,ARB,20250804,250,962,1.2942709777539456,-1.7290870728617027,-0.4348160951077569
bybit_perp,ARB,20250804,500,916,1.2910510380956104,-1.7397329373412322,-0.4486818992456218
bybit_perp,ARB,20250804,1000,837,1.2970621368331692,-1.741190511707607,-0.44412837487443774
bybit_perp,ARB,20250804,2000,751,1.2924538564888175,-1.634941793974842,-0.34248793748602413
bybit_perp,ARB,20250804,5000,596,1.295375984395011,-1.6445536357770514,-0.3491776513820409
bybit_perp,ARB,20250804,10000,519,1.294707030905292,-1.0170812531504665,0.2776257777548254
bybit_perp,ARB,20250805,100,1163,1.3031860893774336,-1.3916807487250125,-0.08849465934757922
bybit_perp,ARB,20250805,250,1018,1.319395449852937,-1.386905618656783,-0.06751016880384578
bybit_perp,ARB,20250805,500,920,1.3167987215169084,-1.313766394192017,0.0030323273248916184
bybit_perp,ARB,20250805,1000,876,1.3186620359939547,-1.3694487674368168,-0.050786731442862006
bybit_perp,ARB,20250805,2000,744,1.3233142514658098,-1.1736627938634976,0.14965145760231238
bybit_perp,ARB,20250805,5000,641,1.3151338974149356,-1.008178416117013,0.30695548129792244
bybit_perp,ARB,20250805,10000,544,1.3313778986163516,-0.7793948543358774,0.5519830442804741
bybit_perp,ARB,20250806,100,826,1.3191030108733581,-2.026267841720812,-0.7071648308474541
bybit_perp,ARB,20250806,250,714,1.334448848302431,-1.8364842569648978,-0.5020354086624671
bybit_perp,ARB,20250806,500,675,1.3267507286871245,-1.7523106269456266,-0.4255598982585017
bybit_perp,ARB,20250806,1000,597,1.3250557272532455,-1.64527459444305,-0.3202188671898045
bybit_perp,ARB,20250806,2000,554,1.328724749019428,-1.8331315947512894,-0.5044068457318615
bybit_perp,ARB,20250806,5000,440,1.3265686069679679,-1.8128409585381633,-0.48627235157019527
bybit_perp,ARB,20250806,10000,372,1.3099136795845014,-1.2069135012888759,0.10300017829562572
bybit_perp,ARB,20250807,100,743,1.2448587824156834,-2.1769588714905637,-0.9321000890748803
bybit_perp,ARB,20250807,250,630,1.2579109127727481,-2.4045935331243005,-1.146682620351552
bybit_perp,ARB,20250807,500,562,1.258090329981006,-2.4136197807438196,-1.1555294507628133
bybit_perp,ARB,20250807,1000,529,1.259338135602997,-2.372172352431689,-1.1128342168286922
bybit_perp,ARB,20250807,2000,452,1.241824454914891,-2.396325659702179,-1.154501204787288
bybit_perp,ARB,20250807,5000,389,1.2479791881315303,-1.7564769495871397,-0.5084977614556093
bybit_perp,ARB,20250807,10000,352,1.25803403156934,-1.0115435122926406,0.2464905192766993
bybit_perp,ARB,20250808,100,1549,1.1906944260746832,-1.6989262340608062,-0.5082318079861229
bybit_perp,ARB,20250808,250,1250,1.205524730467915,-1.6200766542814542,-0.4145519238135391
bybit_perp,ARB,20250808,500,1160,1.2047370666696289,-1.99962288422536,-0.7948858175557312
bybit_perp,ARB,20250808,1000,1002,1.2036723739944166,-2.0006169448056568,-0.7969445708112398
bybit_perp,ARB,20250808,2000,894,1.202623981929293,-1.9297527510255033,-0.7271287690962099
bybit_perp,ARB,20250808,5000,698,1.19809959669035,-1.7230702067341388,-0.5249706100437889
bybit_perp,ARB,20250808,10000,556,1.2038602029540577,-1.4907039057222868,-0.28684370276822885
bybit_perp,ARB,20250809,100,1831,1.097546702555094,-2.179243508349771,-1.081696805794677
bybit_perp,ARB,20250809,250,1533,1.1061781246614841,-2.1975389193372097,-1.0913607946757253
bybit_perp,ARB,20250809,500,1411,1.1079593225861168,-2.123974882566239,-1.0160155599801224
bybit_perp,ARB,20250809,1000,1305,1.111903516566366,-1.9547160588611039,-0.8428125422947382
bybit_perp,ARB,20250809,2000,1153,1.107344158781819,-2.166467889001035,-1.0591237302192158
bybit_perp,ARB,20250809,5000,931,1.11206778793079,-2.014172948482863,-0.9021051605520735
bybit_perp,ARB,20250809,10000,775,1.112655968094728,-1.363827747781985,-0.25117177968725696
bybit_perp,ARB,20250810,100,1869,1.0881305369424739,-2.0902614833689435,-1.0021309464264694
bybit_perp,ARB,20250810,250,1555,1.1023013623777278,-2.0109600342776957,-0.9086586718999683
bybit_perp,ARB,20250810,500,1462,1.1018428464564591,-2.1002709325923368,-0.9984280861358776
bybit_perp,ARB,20250810,1000,1346,1.1059515489173077,-2.2984687445620704,-1.1925171956447624
bybit_perp,ARB,20250810,2000,1195,1.108181686098539,-1.8879814425482888,-0.7797997564497499
bybit_perp,ARB,20250810,5000,950,1.106997382039295,-1.5741963741049816,-0.4671989920656867
bybit_perp,ARB,20250810,10000,812,1.1077646377288421,-1.4383588095121844,-0.33059417178334244
bybit_perp,ARB,20250811,100,2209,1.1105336160530739,-1.8928527566852875,-0.7823191406322137
bybit_perp,ARB,20250811,250,1826,1.1247875486239574,-1.6375637680194268,-0.5127762193954694
bybit_perp,ARB,20250811,500,1680,1.1244334335807018,-1.5532177425374465,-0.4287843089567445
bybit_perp,ARB,20250811,1000,1493,1.124665972488023,-1.5823411466048158,-0.4576751741167928
bybit_perp,ARB,20250811,2000,1307,1.1241498301341637,-1.7254812212428443,-0.6013313911086811
bybit_perp,ARB,20250811,5000,1087,1.128254740782011,-1.485676032765611,-0.3574212919836005
bybit_perp,ARB,20250811,10000,881,1.119640016280381,-1.1714258913125741,-0.051785875032193125
bybit_perp,ARB,20250812,100,2397,1.11608196066264,-2.3620871266859482,-1.2460051660233087
bybit_perp,ARB,20250812,250,2026,1.1263393381832185,-2.6189649691106,-1.4926256309273815
bybit_perp,ARB,20250812,500,1853,1.1291252590200191,-2.0791462251163244,-0.9500209660963052
bybit_perp,ARB,20250812,1000,1724,1.1157314572144925,-2.202210147475485,-1.0864786902609926
bybit_perp,ARB,20250812,2000,1478,1.1263142871296334,-2.0939181562902203,-0.967603869160587
bybit_perp,ARB,20250812,5000,1146,1.1168228556512763,-1.6327579365738574,-0.5159350809225809
bybit_perp,ARB,20250812,10000,950,1.1252821260876735,-1.2075545116026358,-0.08227238551496244
bybit_perp,ARB,20250813,100,8816,0.9761491117223366,-1.897609752235188,-0.9214606405128516
bybit_perp,ARB,20250813,250,6923,0.993064135735945,-1.990869250256724,-0.9978051145207791
bybit_perp,ARB,20250813,500,6304,0.9872095360030158,-1.8671928999508065,-0.8799833639477908
bybit_perp,ARB,20250813,1000,5327,0.9833522925493672,-1.640652651969066,-0.6573003594196992
bybit_perp,ARB,20250813,2000,4456,0.993415016829974,-1.797720985938426,-0.8043059691084519
bybit_perp,ARB,20250813,5000,3280,0.9959834929630313,-1.7686800949054475,-0.7726966019424162
bybit_perp,ARB,20250813,10000,2527,0.9924295809934816,-1.6356524314353733,-0.6432228504418918
bybit_perp,ARB,20250814,100,8171,1.0225657225941351,-2.5130698926636903,-1.490504170069556
bybit_perp,ARB,20250814,250,6362,1.0303255064504144,-2.5397309464083753,-1.5094054399579615
bybit_perp,ARB,20250814,500,5689,1.0193054752274655,-2.234396624287184,-1.2150911490597185
bybit_perp,ARB,20250814,1000,4819,1.009047235315878,-1.7037170387568177,-0.6946698034409399
bybit_perp,ARB,20250814,2000,3968,0.9961863638701163,-1.7724095909367783,-0.7762232270666622
bybit_perp,ARB,20250814,5000,3012,0.9900631714372033,-1.664929048106922,-0.6748658766697185
bybit_perp,ARB,20250814,10000,2275,0.9854476825441499,-1.3914257069360418,-0.4059780243918919
bybit_perp,ARB,20250815,100,5125,1.014867967323402,-1.7308250032378314,-0.715957035914429
bybit_perp,ARB,20250815,250,4127,1.0264777446303692,-1.8497972678070915,-0.8233195231767219
bybit_perp,ARB,20250815,500,3812,1.0259840602965844,-2.010439763926309,-0.9844557036297246
bybit_perp,ARB,20250815,1000,3340,1.029307530454136,-1.7646416329804129,-0.7353341025262772
bybit_perp,ARB,20250815,2000,2868,1.030895254457292,-1.5862955678591086,-0.5554003134018163
bybit_perp,ARB,20250815,5000,2242,1.0241355458261507,-1.9683612880256582,-0.9442257421995075
bybit_perp,ARB,20250815,10000,1776,1.0278739381586552,-1.5708323888515092,-0.5429584506928539
bybit_perp,ARB,20250816,100,1714,1.0392646507968963,-1.69878168181255,-0.6595170310156537
bybit_perp,ARB,20250816,250,1448,1.050091121908767,-1.7403101708078306,-0.6902190488990636
bybit_perp,ARB,20250816,500,1354,1.0552282466982033,-1.7646640489657404,-0.7094358022675373
bybit_perp,ARB,20250816,1000,1236,1.0528347557495896,-1.771182479237712,-0.7183477234881221
bybit_perp,ARB,20250816,2000,1111,1.0539425367084356,-1.827876165379339,-0.7739336286709032
bybit_perp,ARB,20250816,5000,903,1.0583243374009539,-1.6979601073493893,-0.6396357699484353
bybit_perp,ARB,20250816,10000,788,1.0507143978669091,-1.1411849670742091,-0.09047056920729997
bybit_perp,ARB,20250817,100,6761,0.9583147434044956,-1.7770865728310492,-0.8187718294265537
bybit_perp,ARB,20250817,250,5496,0.9839305344478952,-1.9152825696584226,-0.9313520352105275
bybit_perp,ARB,20250817,500,5003,0.9823917765557292,-2.0109161549821355,-1.0285243784264064
