coin,date,block,regime,capture_sum,adverse_sum,net_sum,n_fills
ARB,20230724,asia,calm,0.0032848697155714035,-0.019696107134222984,-0.01641123555600643,81.0
ARB,20230724,europe,calm,0.005638027563691139,-0.033171024173498154,-0.027532998472452164,132.0
ARB,20230724,europe,mid,0.013427557423710823,0.041914235800504684,0.05534179508686066,217.0
ARB,20230724,europe,stress,0.01030506007373333,-0.01786058396100998,-0.0075555220246315,178.0
ARB,20230724,us,calm,0.0023258200380951166,-0.012002727948129177,-0.00967690721154213,55.0
ARB,20230724,us,mid,8.414684270974249e-05,-0.0008411144372075796,-0.0007569675799459219,2.0
ARB,20230802,asia,calm,0.0037937939632683992,-0.016636524349451065,-0.01284273061901331,87.0
ARB,20230802,asia,mid,0.0007278542034327984,-0.0017967137973755598,-0.0010688595939427614,17.0
ARB,20230802,europe,calm,0.0041513643227517605,-0.02320634387433529,-0.01905498281121254,92.0
ARB,20230802,europe,mid,0.0009242465603165329,-0.0018058066489174962,-0.0008815600886009634,19.0
ARB,20230802,us,calm,0.002997972769662738,-0.01973428949713707,-0.016736317425966263,68.0
ARB,20230802,us,mid,0.00394607987254858,-0.018255852162837982,-0.014309772290289402,83.0
ARB,20230808,asia,calm,0.0019295779056847095,-0.004653019364923239,-0.002723441459238529,42.0
ARB,20230808,europe,calm,0.0026676093693822622,-0.009802763350307941,-0.007135154213756323,61.0
ARB,20230808,europe,mid,0.00013067542749922723,-0.0006976316217333078,-0.0005669562378898263,3.0
ARB,20230808,us,calm,0.00426793098449707,-0.010893675498664379,-0.0066257440485060215,94.0
ARB,20230808,us,mid,0.0006879663560539484,-0.001718442770652473,-0.0010304765310138464,16.0
ARB,20230817,asia,calm,0.0020901942625641823,-0.007145645562559366,-0.005055450834333897,44.0
ARB,20230817,asia,mid,0.003785346169024706,-0.02320222556591034,-0.01941688358783722,67.0
ARB,20230817,asia,stress,0.0008661050815135241,-0.004816002212464809,-0.003949897363781929,18.0
ARB,20230817,europe,calm,0.0014804546954110265,-0.004537962377071381,-0.003057507099583745,31.0
ARB,20230817,europe,mid,0.006460718810558319,-0.04110994189977646,-0.03464921936392784,126.0
ARB,20230817,europe,stress,0.007740388624370098,-0.013336233794689178,-0.005595841910690069,114.0
ARB,20230817,us,calm,0.0011148304911330342,-0.0032696956768631935,-0.002154865302145481,21.0
ARB,20230817,us,mid,0.005084911826997995,-0.021671591326594353,-0.016586683690547943,90.0
ARB,20230817,us,stress,0.14192184805870056,0.0032603666186332703,0.14518219232559204,1167.0
ARB,20230826,asia,calm,0.0019517638720571995,-0.008435421623289585,-0.006483656354248524,35.0
ARB,20230826,europe,calm,0.001535608433187008,-0.003549364395439625,-0.0020137557294219732,28.0
ARB,20230826,europe,mid,0.00010630382166709751,-0.0008504644501954317,-0.000744160613976419,2.0
ARB,20230826,us,calm,0.001322923693805933,-0.0018071362283080816,-0.00048421250539831817,25.0
ARB,20230904,asia,calm,0.003117726184427738,-0.01724305935204029,-0.014125333167612553,57.0
ARB,20230904,asia,mid,0.0008153975941240788,0.000820787507109344,0.0016361854504793882,10.0
ARB,20230904,europe,calm,0.0030311420559883118,-0.009359247982501984,-0.006328105926513672,54.0
ARB,20230904,europe,mid,0.002191508887335658,0.0019350288202986121,0.004126537591218948,38.0
ARB,20230904,us,calm,0.002077927812933922,-0.007963890209794044,-0.005885962396860123,37.0
ARB,20230904,us,mid,5.6075816246448085e-05,0.0,5.6075816246448085e-05,1.0
ARB,20230910,asia,calm,0.002711873035877943,-0.011828577145934105,-0.00911670457571745,46.0
ARB,20230910,asia,mid,0.004134927410632372,-0.10612457245588303,-0.10198963433504105,58.0
ARB,20230910,asia,stress,0.009264987893402576,-0.06054094061255455,-0.05127593129873276,126.0
ARB,20230910,europe,calm,0.003544645616784692,-0.01411428302526474,-0.010569638572633266,60.0
ARB,20230910,europe,mid,0.002774530090391636,-0.002975823823362589,-0.00020129315089434385,43.0
ARB,20230910,us,calm,0.002843189751729369,-0.008930759504437447,-0.006087569519877434,45.0
ARB,20230910,us,mid,0.009132521227002144,-0.04614265263080597,-0.037010133266448975,142.0
ARB,20230919,asia,calm,0.0018681696383282542,-0.009769689291715622,-0.007901519536972046,31.0
ARB,20230919,asia,mid,0.00042628063238225877,-0.00023983354913070798,0.00018644709780346602,7.0
ARB,20230919,europe,calm,0.0023786199744790792,0.0010845715878531337,0.0034631912130862474,40.0
ARB,20230919,europe,mid,0.004981314297765493,-0.011976395733654499,-0.006995080504566431,83.0
ARB,20230919,us,calm,0.003943709656596184,-0.009984114207327366,-0.0060404036194086075,56.0
ARB,20230919,us,mid,0.0009477365529164672,-0.005574752110987902,-0.004627015441656113,16.0
ARB,20230928,asia,calm,0.0023660145234316587,-0.006556564010679722,-0.004190549720078707,39.0
ARB,20230928,europe,calm,0.0021490496583282948,-0.009784813039004803,-0.007635762915015221,36.0
ARB,20230928,europe,mid,0.005381546914577484,-0.023704664781689644,-0.018323121592402458,85.0
ARB,20230928,us,calm,0.0017492318293079734,-0.007231612224131823,-0.005482380278408527,31.0
ARB,20230928,us,mid,0.005407128017395735,-0.01852530427277088,-0.01311817578971386,86.0
ARB,20230928,us,stress,0.007392300292849541,-0.0060950350016355515,0.0012972666881978512,124.0
ARB,20231007,asia,calm,0.0015741364331915975,-0.004445410333573818,-0.002871273783966899,27.0
ARB,20231007,europe,calm,0.0016992714954540133,-0.005822915583848953,-0.004123644437640905,29.0
ARB,20231007,us,calm,0.0010347033385187387,-0.0021865989547222853,-0.0011518957326188684,18.0
ARB,20231013,asia,calm,0.0011200029402971268,-0.003859942080453038,-0.002739938907325268,18.0
ARB,20231013,europe,calm,0.002672754693776369,-0.012659532018005848,-0.009986776858568192,43.0
ARB,20231013,europe,mid,0.002097539370879531,-0.01814393326640129,-0.016046395525336266,29.0
ARB,20231013,europe,stress,0.0006208342965692282,-0.003722436958923936,-0.0031016028951853514,10.0
ARB,20231013,us,calm,0.0025379816070199013,-0.004380261059850454,-0.0018422793364152312,39.0
ARB,20231013,us,mid,0.00400164257735014,-0.012247678823769093,-0.008246035315096378,46.0
ARB,20231022,asia,calm,0.003400838701054454,-0.008266082964837551,-0.004865244496613741,55.0
ARB,20231022,asia,mid,0.008409605361521244,-0.046383973211050034,-0.037974365055561066,121.0
ARB,20231022,asia,stress,0.0003629619022831321,-0.0027218637987971306,-0.002358902245759964,5.0
ARB,20231022,europe,calm,0.003026610938832164,-0.013432365842163563,-0.01040575560182333,50.0
ARB,20231022,europe,mid,0.00030305710970424116,-0.00012079329462721944,0.00018226381507702172,5.0
ARB,20231022,europe,stress,0.00012064917973475531,-0.0008452574838884175,-0.0007246083114296198,2.0
ARB,20231022,us,calm,0.0030427654273808002,-0.013387233018875122,-0.010344468057155609,48.0
ARB,20231022,us,mid,0.0008316360763274133,-0.010341404005885124,-0.009509768337011337,14.0
ARB,20231031,asia,calm,0.002493905369192362,-0.008511487394571304,-0.00601758249104023,48.0
ARB,20231031,asia,mid,0.005161966197192669,-0.02051064372062683,-0.015348678454756737,80.0
ARB,20231031,europe,calm,0.00217806501314044,-0.011072665452957153,-0.008894600905478,42.0
ARB,20231031,europe,mid,0.013103535398840904,0.04593034088611603,0.05903387814760208,196.0
ARB,20231031,europe,stress,0.01351669430732727,-0.11783859878778458,-0.10432189702987671,180.0
ARB,20231031,us,calm,0.002184157492592931,-0.009489471092820168,-0.00730531383305788,41.0
ARB,20231031,us,mid,0.0019230954349040985,-0.0030444213189184666,-0.0011213256511837244,35.0
ARB,20231109,asia,calm,0.0035622031427919865,-0.014507119543850422,-0.010944916866719723,77.0
ARB,20231109,asia,mid,0.009424211457371712,-0.022391099482774734,-0.012966888025403023,183.0
ARB,20231109,europe,calm,0.001589637016877532,-0.007041805423796177,-0.005452169105410576,33.0
ARB,20231109,europe,mid,0.014270519837737083,-0.03048841282725334,-0.016217894852161407,284.0
ARB,20231109,europe,stress,0.061545513570308685,-0.16378861665725708,-0.10224311053752899,1092.0
ARB,20231109,us,mid,0.007020318880677223,-0.016901802271604538,-0.009881481528282166,135.0
ARB,20231109,us,stress,0.39561212062835693,-0.655024528503418,-0.2594124376773834,4029.0
ARB,20231115,asia,calm,0.0074167558923363686,-0.04317450895905495,-0.03575775399804115,153.0
ARB,20231115,asia,mid,0.00027602334739640355,-0.0009673058521002531,-0.0006912825047038496,5.0
ARB,20231115,europe,calm,0.006413178518414497,-0.025264080613851547,-0.0188509002327919,137.0
ARB,20231115,europe,mid,0.005269656889140606,-0.01909670978784561,-0.01382705383002758,114.0
ARB,20231115,us,calm,0.002768625970929861,-0.015248473733663559,-0.012479845434427261,61.0
ARB,20231115,us,mid,0.017381884157657623,-0.07920420914888382,-0.061822324991226196,349.0
