coin,date,touch_net_bp,touch_fills,as_net_bp,as_fills,diff_bp,n_opportunities,n_events,as_frac_quotes_outside_book,as_frac_quotes_at_deepest_level,as_mean_abs_inventory,k_per_bp,floor_half_spread_bp
ARB,20230422,-0.5262837941277471,3728,-0.5041702244064251,204,0.022113569721321946,714744,1361422,0.4052751754474329,0.43875849255117916,0.37374656512003573,0.4956201958251716,1.9222644495099803
ARB,20230510,-1.4948605144064542,4596,-0.4232274848996974,307,1.0716330295067569,655275,1273927,0.40798443401625273,0.4393720193811758,0.3218655752938672,0.4956201958251716,1.9222644495099803
ARB,20231109,-0.9886599062770228,5743,1.5767747969242716,429,2.5654347032012943,706660,1291199,0.5179195086746101,0.5559908584043246,0.20666571250219418,0.4956201958251716,1.9222644495099803
ARB,20240105,-1.0563581029932096,6469,0.5217954041778521,803,1.5781535071710617,735908,1615936,0.8104402996026677,0.8298129657511537,0.25480913192620563,0.4956201958251716,1.9222644495099803
ARB,20240320,-0.788224720153702,7357,-0.48996612017720653,184,0.2982585999764955,797678,1788435,0.8600638352819058,0.8791542451966834,0.14864666748259264,0.4956201958251716,1.9222644495099803
ARB,20241025,-2.252403084691015,1185,-1.0214701048751453,52,1.2309329798158695,657986,835541,0.134534777335688,0.156061071208202,1.0000360529256949,0.4956201958251716,1.9222644495099803
ARB,20241227,-0.5851354922611205,1684,-0.12848645079625598,51,0.4566490414648645,770162,999592,0.2726101781183699,0.32507251721066477,1.0768154181484455,0.4956201958251716,1.9222644495099803
AVAX,20240507,-0.9785485742532392,1104,1.5197847693835096,51,2.498333343636749,660459,832216,0.13919107772019157,0.1737995848341835,0.5730561462982371,0.37124144160602596,2.527070557196138
AVAX,20250520,-0.8510706630785737,2452,0.19291037016559165,76,1.0439810332441652,750531,1067320,0.7087468738799596,0.7736076191389829,0.3162800776844672,0.37124144160602596,2.527070557196138
AVAX,20250801,-0.9423170849019658,5247,-0.3267345211125519,110,0.6155825637894139,820908,1313418,0.7725585571099319,0.808935958718882,0.24729969281795577,0.37124144160602596,2.527070557196138
BNB,20240410,-0.38061007653237394,2774,1.376750927234003,166,1.757361003766377,648813,872000,0.1604630301797282,0.1867764671792951,0.336652823264362,0.5978268719631603,1.6064457498432279
BNB,20240422,-1.3752803690007018,2174,-0.33558880599379814,120,1.0396915630069037,717831,910210,0.13032245751437316,0.15450224356429298,0.29507486217656337,0.5978268719631603,1.6064457498432279
BNB,20241022,-1.3813535586019694,444,-4.5873875355143445,50,-3.206033976912375,658907,752193,0.028365156236009027,0.036044540428315376,0.4267263737467982,0.5978268719631603,1.6064457498432279
BNB,20241115,-0.3796099397072122,2650,-0.21289576169031568,105,0.1667141780168965,799897,1015792,0.2644946786898813,0.30497801591954965,0.30073057000427306,0.5978268719631603,1.6064457498432279
BNB,20250324,-1.4937639975538786,487,-1.159314543631966,53,0.3344494539219125,679331,807400,0.021454931395740808,0.025500087586169333,0.3763048950570806,0.5978268719631603,1.6064457498432279
BTC,20231206,-0.8024796375658717,8951,-0.4778840005807705,1112,0.3245956369851012,787560,1986975,0.5815614048453451,0.6047501142770074,0.2969865297180403,7.045467647537048,0.141433949952895
BTC,20231212,-0.735624205243893,8156,-0.7868198389972257,1118,-0.05119563375333269,729364,1790744,0.5495781255998377,0.573409161954799,0.36346406894659933,7.045467647537048,0.141433949952895
BTC,20240114,-1.0944376266022044,5676,-0.5919443015388066,1064,0.5024933250633978,704200,1540660,0.41099403578528826,0.4352676796364669,0.36491528585224914,7.045467647537048,0.141433949952895
BTC,20240117,0.04395945926415792,5872,-0.7782040079969941,1073,-0.822163467261152,730600,1613626,0.5012551327675883,0.527604708458801,0.3539807341432128,7.045467647537048,0.141433949952895
BTC,20240204,-0.26649940716694426,2349,-0.645056580949238,766,-0.37855717378229375,651145,1151149,0.24724446935782352,0.27162843913414064,0.480088153744863,7.045467647537048,0.141433949952895
BTC,20240401,-0.6509361340683183,19903,-0.723071492418615,1898,-0.07213535835029672,771746,2304786,0.5885135783016692,0.6167359468011496,0.3919076443321313,7.045467647537048,0.141433949952895
BTC,20240410,-0.3627686665055963,24317,-0.11864306018110084,2134,0.24412560632449548,799547,2543875,0.6881484140394498,0.7148923077692744,0.31054254806707265,7.045467647537048,0.141433949952895
BTC,20240712,-0.582064991170145,8652,0.5431778734029411,1330,1.125242864573086,714759,1772530,0.5302157790248182,0.5531850595795226,0.33528163865547095,7.045467647537048,0.141433949952895
BTC,20250120,-1.1636192523475366,76652,-1.3970377468569326,7444,-0.233418494509396,834058,9614253,0.8870180491044988,0.8965389697119385,0.25065966874309725,7.045467647537048,0.141433949952895
BTC,20250520,-0.8387940542811556,8908,-0.6409327603896648,1641,0.19786129389149076,749726,2891934,0.5873879257221972,0.6218258403736832,0.312670621398957,7.045467647537048,0.141433949952895
BTC,20250812,-0.7880125317802719,6894,-0.5137825961031766,887,0.2742299356770953,734805,2123945,0.5980015106048544,0.6383435061002579,0.26561715388797724,7.045467647537048,0.141433949952895
DOGE,20230407,-2.4097019354174507,1665,-1.7571774495385173,84,0.6525244858789334,644945,1091627,0.9072936451945515,0.9181790695330609,1.0111133562335826,0.5165138242278651,1.8479885927670843
DOGE,20240416,-0.6956694268607021,12752,0.03823607996834044,514,0.7339055068290425,841877,2518514,0.8777178851542446,0.8938330658754189,1.0375119299555997,0.5165138242278651,1.8479885927670843
DOGE,20250123,-0.8339053710978978,15988,-0.36475719709491256,1136,0.4691481740029852,831811,2987393,0.8933363468384043,0.9215705250351341,1.0669867721131667,0.5165138242278651,1.8479885927670843
DOGE,20250129,-0.7704134980420483,10896,-0.6136891805042796,614,0.15672431753776872,820162,2239453,0.8643213170081033,0.897041682009164,1.0353297682709448,0.5165138242278651,1.8479885927670843
DOGE,20250225,-0.8170946590309512,12439,-0.11655690637949709,414,0.7005377526514541,843090,2832493,0.9043388013142132,0.9195014767106715,1.0151963103122044,0.5165138242278651,1.8479885927670843
DOGE,20250309,-0.7664858036920817,10255,0.8061481328842445,153,1.5726339365763262,835427,1946180,0.8561867164934818,0.8796453789499262,1.0011347875425545,0.5165138242278651,1.8479885927670843
DOGE,20250610,-0.637529521739139,6701,-0.7321916382132971,80,-0.09466211647415812,842074,1802271,0.8495108505903282,0.874693316739384,1.0159472677014671,0.5165138242278651,1.8479885927670843
ETH,20230404,-0.9972436931062832,4059,0.3787637612940794,714,1.3760074544003627,653965,1246488,0.41729068069392095,0.4420358887708058,0.5325913906607463,3.724264832034846,0.2667229085756266
ETH,20230528,-1.8147680627496463,2203,-2.1531843512577433,554,-0.338416288508097,501831,937344,0.24275303837347634,0.25733862595176465,0.696607240379517,3.724264832034846,0.2667229085756266
ETH,20230627,-1.3717084376042317,2149,-1.160659434018028,452,0.2110490035862036,644746,982099,0.3027859032859452,0.32544754058187253,0.45394189896095866,3.724264832034846,0.2667229085756266
ETH,20230913,-2.055024164760436,1758,-1.1993854408557039,472,0.8556387239047321,559677,839742,0.29619405478517075,0.31628332055810765,0.5667060458535857,3.724264832034846,0.2667229085756266
ETH,20240311,-0.9621792560127713,13188,-0.877372413344326,1266,0.08480684266844529,814263,2052485,0.7056890709758395,0.7265447404585497,0.3231650491192515,3.724264832034846,0.2667229085756266
ETH,20240428,-0.7910051660680371,5015,-0.9362960231274909,785,-0.14529085705945388,728898,1461378,0.5075819936397137,0.5332844924804293,0.36716041651758907,3.724264832034846,0.2667229085756266
ETH,20240721,-0.8335262652209372,4004,-1.8137997878633045,513,-0.9802735226423673,634592,1194190,0.41957746079370684,0.44535859260753363,0.39064341309940803,3.724264832034846,0.2667229085756266
ETH,20240907,-0.7699645263601055,3372,-0.9176213097340802,667,-0.1476567833739747,682874,1328094,0.5430028087172744,0.566771468821481,0.4115594172923198,3.724264832034846,0.2667229085756266
